 ,time,force,units, ,x ,y ,z, 
b',69741,-0.178,kg,\r\n'b',1494, 3444,341,\r\n'
b',70126,-0.178,kg,\r\n'b',1555, 3511,333,\r\n'
b',70511,-0.178,kg,\r\n'b',1557, 3542,277,\r\n'
b',70896,-0.179,kg,\r\n'b',1500, 3604,533,\r\n'
b',71281,-0.179,kg,\r\n'b',1742, 3850,34,\r\n'
b',71666,-0.178,kg,\r\n'b',1763, 3680,-210,\r\n'
b',72051,-0.178,kg,\r\n'b',1821, 3705,-187,\r\n'
b',72436,-0.178,kg,\r\n'b',1889, 3713,-297,\r\n'
b',72821,-0.178,kg,\r\n'b',1814, 3657,-65,\r\n'
b',73206,-0.178,kg,\r\n'b',1694, 3776,258,\r\n'
b',73591,-0.178,kg,\r\n'b',1612, 3787,565,\r\n'
b',73976,-0.178,kg,\r\n'b',1604, 3795,590,\r\n'
b',74361,-0.178,kg,\r\n'b',1710, 3751,266,\r\n'
b',74746,-0.178,kg,\r\n'b',1794, 3654,15,\r\n'
b',75131,-0.178,kg,\r\n'b',2137, 3492,-45,\r\n'
b',75516,-0.179,kg,\r\n'b',1743, 3710,91,\r\n'
b',75901,-0.179,kg,\r\n'b',1708, 3795,311,\r\n'
b',76286,-0.179,kg,\r\n'b',1673, 3792,492,\r\n'
b',76672,-0.178,kg,\r\n'b',1670, 3796,401,\r\n'
b',77057,-0.178,kg,\r\n'b',1704, 3710,136,\r\n'
b',77442,-0.178,kg,\r\n'b',1729, 3698,149,\r\n'
b',77827,-0.178,kg,\r\n'b',1741, 3688,178,\r\n'
b',78212,-0.178,kg,\r\n'b',1720, 3774,240,\r\n'
b',78597,-0.178,kg,\r\n'b',1699, 3756,326,\r\n'
b',78982,-0.178,kg,\r\n'b',1722, 3760,237,\r\n'
b',79367,-0.178,kg,\r\n'b',1728, 3714,116,\r\n'
b',79752,-0.178,kg,\r\n'b',1746, 3678,167,\r\n'
b',80137,-0.178,kg,\r\n'b',2169, 3508,0,\r\n'
b',80522,-0.178,kg,\r\n'b',1681, 3759,291,\r\n'
b',80907,-0.178,kg,\r\n'b',1711, 3786,299,\r\n'
b',81292,-0.179,kg,\r\n'b',1715, 3742,248,\r\n'
b',81677,-0.179,kg,\r\n'b',1726, 3711,192,\r\n'
b',82062,-0.179,kg,\r\n'b',1743, 3712,96,\r\n'
b',82447,-0.178,kg,\r\n'b',1699, 3738,255,\r\n'
b',82832,-0.179,kg,\r\n'b',1730, 3736,218,\r\n'
b',83217,-0.179,kg,\r\n'b',1722, 3747,250,\r\n'
b',83602,-0.180,kg,\r\n'b',1696, 3752,204,\r\n'
b',83987,-0.179,kg,\r\n'b',1705, 3754,186,\r\n'
b',84372,-0.178,kg,\r\n'b',1723, 3692,134,\r\n'
b',84757,-0.178,kg,\r\n'b',1732, 3710,188,\r\n'
b',85142,-0.178,kg,\r\n'b',1728, 3729,196,\r\n'
b',85527,-0.178,kg,\r\n'b',1730, 3732,206,\r\n'
b',85912,-0.179,kg,\r\n'b',1716, 3735,248,\r\n'
b',86297,-0.180,kg,\r\n'b',1729, 3720,148,\r\n'
b',86682,-0.180,kg,\r\n'b',1731, 3719,147,\r\n'
b',87067,-0.179,kg,\r\n'b',1710, 3759,277,\r\n'
b',87452,-0.179,kg,\r\n'b',1721, 3726,190,\r\n'
b',87837,-0.180,kg,\r\n'b',1714, 3706,209,\r\n'
b',88222,-0.180,kg,\r\n'b',1710, 3744,235,\r\n'
b',88607,-0.179,kg,\r\n'b',1730, 3737,182,\r\n'
b',88992,-0.179,kg,\r\n'b',1746, 3703,114,\r\n'
b',89377,-0.177,kg,\r\n'b',1719, 3740,276,\r\n'
b',89762,-0.176,kg,\r\n'b',1723, 3719,175,\r\n'
b',90147,-0.176,kg,\r\n'b',1725, 3702,148,\r\n'
b',90532,-0.176,kg,\r\n'b',1721, 3728,215,\r\n'
b',90917,-0.177,kg,\r\n'b',1721, 3679,106,\r\n'
b',91302,-0.177,kg,\r\n'b',1740, 3707,165,\r\n'
b',91687,-0.177,kg,\r\n'b',1738, 3676,109,\r\n'
b',92072,-0.177,kg,\r\n'b',1706, 3726,244,\r\n'
b',92457,-0.177,kg,\r\n'b',1743, 3663,113,\r\n'
b',92843,-0.177,kg,\r\n'b',1727, 3761,230,\r\n'
b',93228,-0.177,kg,\r\n'b',1730, 3736,188,\r\n'
b',93613,-0.179,kg,\r\n'b',1733, 3713,169,\r\n'
b',93998,-0.178,kg,\r\n'b',1733, 3720,129,\r\n'
b',94383,-0.178,kg,\r\n'b',1719, 3743,197,\r\n'
b',94768,-0.179,kg,\r\n'b',1713, 3756,177,\r\n'
b',95153,-0.179,kg,\r\n'b',1710, 3724,163,\r\n'
b',95538,-0.179,kg,\r\n'b',1695, 3729,239,\r\n'
b',95923,-0.179,kg,\r\n'b',1711, 3711,199,\r\n'
