Index,Time,Difference,Hz,AveHz,0x6829 Acceleration-X,0x6829 Acceleration-Y,0x6829 Acceleration-Z,0x6829 Range,0x6829 Smoothed Range,0x6126 Acceleration-X,0x6126 Acceleration-Y,0x6126 Acceleration-Z,0x6126 Range,0x6126 Smoothed Range,
733,34.48412823677063,0.045056819915771484,22.194198389264585,21.256155729591498,287.0,-465.0,1224.0,321,311.593884314097,-29.0,212.0,960.0,3519,3521.6953321222018,
734,34.53075671195984,0.046628475189208984,21.44612269524579,21.256412250756636,104.0,-538.0,1224.0,335,332.6593884314097,-28.0,210.0,961.0,3542,3539.96953321222,
735,34.57710814476013,0.04635143280029297,21.57430611279139,21.256838395011442,-11.0,-490.0,1134.0,461,448.165938843141,-30.0,208.0,957.0,3547,3546.296953321222,
736,34.62606930732727,0.04896116256713867,20.424351620097585,21.25566126110231,-45.0,-319.0,607.0,532,523.616593884314,-29.0,210.0,955.0,3566,3564.029695332122,
737,34.67438745498657,0.04831814765930176,20.69615762282827,21.254881602645614,-326.0,-516.0,775.0,611,602.2616593884313,-28.0,211.0,955.0,3533,3536.102969533212,
738,34.72297930717468,0.04859185218811035,20.57958186341133,21.25393657817576,-93.0,-339.0,855.0,667,660.5261659388432,-31.0,210.0,956.0,3551,3549.5102969533214,
739,34.77060556411743,0.04762625694274902,20.996821169509257,21.253584400112754,79.0,-416.0,1021.0,780,768.0526165938843,-30.0,210.0,958.0,3575,3572.451029695332,
740,34.81936955451965,0.04876399040222168,20.506935378989006,21.252538729666515,321.0,-116.0,384.0,878,867.0052616593885,-28.0,209.0,954.0,3566,3566.645102969533,
741,34.866384506225586,0.04701495170593262,21.269829356728113,21.252562044902888,232.0,53.0,-4.0,878,876.9005261659389,-30.0,210.0,952.0,3547,3548.9645102969534,
742,34.91488432884216,0.04849982261657715,20.618632111413163,21.251681460879293,536.0,235.0,-9.0,1027,1011.990052616594,-31.0,210.0,953.0,3575,3572.396451029695,
743,34.961214780807495,0.04633045196533203,21.584076079125584,21.252121948802575,753.0,828.0,1182.0,1102,1092.9990052616595,-31.0,210.0,953.0,3542,3545.0396451029696,
744,35.00933623313904,0.04812145233154297,20.780752690303018,21.251474036681294,270.0,488.0,510.0,1162,1155.0999005261658,-31.0,210.0,953.0,3566,3563.903964510297,
745,35.058979749679565,0.049643516540527344,20.143617327826338,21.249905311543163,500.0,365.0,404.0,1242,1233.3099900526165,-32.0,209.0,961.0,3533,3536.09039645103,
746,35.10512351989746,0.04614377021789551,21.67139779168238,21.25045934041992,819.0,649.0,406.0,1247,1245.6309990052616,-29.0,211.0,963.0,3551,3549.509039645103,
747,35.15196943283081,0.04684591293334961,21.34657940005904,21.2505874365698,1318.0,1127.0,381.0,1289,1284.6630999005263,-29.0,210.0,962.0,3533,3534.6509039645107,
748,35.19899106025696,0.04702162742614746,21.266809652018274,21.250609107502626,2124.0,1329.0,1315.0,1341,1335.3663099900527,-28.0,211.0,961.0,3537,3536.7650903964513,
749,35.2462854385376,0.04729437828063965,21.14416208341105,21.250466274129927,1191.0,700.0,-246.0,1275,1281.0366309990052,-30.0,211.0,965.0,3523,3524.3765090396455,
750,35.29311394691467,0.046828508377075195,21.354513194136846,21.25060432831445,1045.0,463.0,307.0,1256,1258.5036630999007,-31.0,210.0,966.0,3542,3540.2376509039645,
751,35.341062784194946,0.04794883728027344,20.8555630693345,21.250068357759137,385.0,89.0,958.0,1195,1201.35036630999,-31.0,212.0,962.0,3547,3546.3237650903966,
752,35.38771057128906,0.04664778709411621,21.43724412869592,21.250315091310725,619.0,271.0,711.0,1107,1116.435036630999,-29.0,211.0,962.0,3580,3576.6323765090397,
753,35.43151354789734,0.04380297660827637,22.829498756279833,21.252267391345644,644.0,134.0,510.0,985,998.1435036630999,-29.0,209.0,959.0,3556,3558.063237650904,
754,35.4790825843811,0.04756903648376465,21.02207809782527,21.251958762088513,289.0,-149.0,597.0,859,872.91435036631,-30.0,212.0,959.0,3547,3548.1063237650906,
755,35.527591705322266,0.04850912094116211,20.614679891085313,21.251088626052187,-75.0,-272.0,994.0,836,839.691435036631,-29.0,210.0,954.0,3537,3538.1106323765093,
756,35.571675300598145,0.044083595275878906,22.684175229853974,21.252864634893587,-743.0,-635.0,918.0,719,731.0691435036631,-30.0,211.0,960.0,3551,3549.7110632376507,
757,35.618608474731445,0.04693317413330078,21.306890455773882,21.252935822493768,83.0,-228.0,352.0,733,732.8069143503664,-31.0,209.0,952.0,3556,3555.371106323765,
758,35.66387915611267,0.045270681381225586,22.08935163972846,21.253997544181374,680.0,102.0,642.0,723,723.9806914350366,-30.0,209.0,950.0,3556,3555.9371106323765,
759,35.70896935462952,0.0450901985168457,22.17776884762217,21.255164002698915,1218.0,428.0,954.0,654,660.9980691435037,-29.0,212.0,951.0,3561,3560.4937110632377,
760,35.75838780403137,0.04941844940185547,20.235357687334762,21.253754620176647,1220.0,9.0,1856.0,597,603.3998069143504,-32.0,211.0,964.0,3561,3560.9493711063237,
761,35.80420637130737,0.04581856727600098,21.825213214900845,21.25448591453341,814.0,-121.0,1433.0,490,501.339980691435,-30.0,210.0,963.0,3533,3535.7949371106324,
762,35.85274839401245,0.048542022705078125,20.600707269155205,21.253600745633687,627.0,-535.0,961.0,475,477.6339980691435,-29.0,209.0,958.0,3533,3533.2794937110634,
763,35.89958572387695,0.04683732986450195,21.35049121913973,21.25372715631439,-123.0,-468.0,682.0,471,471.66339980691436,-31.0,211.0,965.0,3490,3494.327949371106,
764,35.9463586807251,0.04677295684814453,21.379875624426546,21.253891299139198,-558.0,-994.0,1266.0,447,449.46633998069143,-29.0,209.0,966.0,3462,3465.2327949371106,
765,35.99473476409912,0.04837608337402344,20.67137168316051,21.253108406371847,-1161.0,-971.0,1470.0,208,232.14663399806915,-30.0,211.0,962.0,3448,3449.7232794937113,
766,36.0411696434021,0.046434879302978516,21.535535679444656,21.253472281253455,-72.0,-55.0,1254.0,142,151.01466339980692,-29.0,208.0,962.0,3425,3427.472327949371,
767,36.08732318878174,0.04615354537963867,21.666807864367556,21.254000912941997,-155.0,284.0,1009.0,0,15.10146633998069,-29.0,209.0,958.0,3453,3450.4472327949375,
768,36.13598346710205,0.0486602783203125,20.550642834744433,21.253053779460075,-38.0,132.0,799.0,25,24.01014663399807,-30.0,210.0,955.0,3453,3452.744723279494,
769,36.18105435371399,0.04507088661193848,22.187271544268174,21.254217538330582,42.0,140.0,1018.0,0,2.401014663399806,-30.0,210.0,960.0,3509,3503.374472327949,
770,36.22816872596741,0.04711437225341797,21.224945853490677,21.254179470796274,121.0,97.0,1214.0,16,14.640101466339981,-30.0,210.0,959.0,3547,3542.6374472327952,
771,36.27400088310242,0.045832157135009766,21.81874174183547,21.254892794556785,134.0,131.0,1044.0,0,1.4640101466339979,-30.0,210.0,954.0,3533,3533.96374472328,
772,36.322577714920044,0.04857683181762695,20.585945245550832,21.253998162219897,64.0,126.0,984.0,0,0.14640101466339975,-28.0,209.0,955.0,3551,3549.296374472328,
773,36.370370864868164,0.04779314994812012,20.92350056620057,21.25356386581905,-46.0,22.0,897.0,0,0.014640101466339971,-30.0,210.0,954.0,3566,3564.329637447233,
774,36.41995048522949,0.049579620361328125,20.169577594829576,21.252088201325375,-80.0,-171.0,1045.0,0,0.0014640101466339968,-27.0,210.0,953.0,3561,3561.332963744723,
775,36.46522903442383,0.04527854919433594,22.085513290366066,21.253123057814506,139.0,-361.0,1398.0,0,0.00014640101466339964,-29.0,211.0,952.0,3575,3573.633296374472,
776,36.51374697685242,0.04851794242858887,20.610931749050366,21.252269740816757,-496.0,-1008.0,1110.0,2,1.8000146401014663,-30.0,209.0,951.0,3589,3587.463329637447,
777,36.561275005340576,0.04752802848815918,21.040216306239873,21.25199408080003,-210.0,-693.0,974.0,39,35.28000146401015,-32.0,211.0,957.0,3584,3584.3463329637443,
778,36.607070446014404,0.045795440673828125,21.836234902124115,21.252724965996418,-457.0,-913.0,886.0,133,123.22800014640102,-31.0,210.0,964.0,3551,3554.3346332963742,
779,36.65455913543701,0.04748868942260742,21.057645771204225,21.252472226486987,-227.0,-817.0,1043.0,255,241.8228000146401,-30.0,208.0,963.0,3589,3585.533463329637,
780,36.70120811462402,0.04664897918701172,21.43669630992538,21.252706384049517,-447.0,-1118.0,1099.0,344,333.782280001464,-30.0,211.0,963.0,3556,3558.9533463329635,
781,36.7485568523407,0.047348737716674805,21.119887207633628,21.25253525296611,-18.0,-885.0,997.0,494,477.97822800014643,-30.0,210.0,962.0,3533,3535.5953346332967,
782,36.796157360076904,0.047600507736206055,21.00817927283109,21.25221914743887,858.0,-728.0,1055.0,593,581.4978228000147,-29.0,209.0,964.0,3556,3553.9595334633295,
783,36.84471321105957,0.048555850982666016,20.594840369639297,21.25135282000157,656.0,-841.0,952.0,738,722.3497822800015,-30.0,210.0,965.0,3551,3551.295953346333,
784,36.889545917510986,0.044832706451416016,22.305144595356357,21.25263351717879,769.0,-918.0,687.0,883,866.9349782280002,-27.0,211.0,961.0,3556,3555.529595334633,
785,36.93617248535156,0.04662656784057617,21.446999989773275,21.25287887669794,1239.0,-508.0,537.0,1013,998.3934978228001,-29.0,210.0,957.0,3566,3564.9529595334634,
786,36.98210692405701,0.045934438705444336,21.77015825560694,21.25352137491939,1417.0,-162.0,278.0,1079,1070.93934978228,-31.0,210.0,959.0,3551,3552.3952959533462,
787,37.028632402420044,0.04652547836303711,21.49359953264802,21.253823026652338,1149.0,422.0,637.0,1097,1094.3939349782281,-29.0,208.0,953.0,3566,3564.639529595335,
788,37.07438039779663,0.045747995376586914,21.858881285796926,21.25456963933055,1427.0,949.0,-599.0,1134,1130.0393934978229,-29.0,210.0,958.0,3542,3544.2639529595335,
789,37.12019371986389,0.04581332206726074,21.827712003330646,21.25527700513555,2561.0,2087.0,1582.0,1200,1193.0039393497823,-29.0,209.0,954.0,3528,3529.6263952959534,
790,37.16856575012207,0.04837203025817871,20.67310374740619,21.25451935140665,1022.0,898.0,699.0,1191,1191.2003939349784,-31.0,211.0,950.0,3608,3600.1626395295957,
791,37.214064836502075,0.04549908638000488,21.978463295901737,21.25540446804762,-258.0,-20.0,602.0,1181,1182.0200393934979,-28.0,211.0,950.0,3537,3543.3162639529596,
792,37.26254415512085,0.048479318618774414,20.627352621510102,21.254587359976558,-275.0,12.0,279.0,1139,1143.30200393935,-27.0,208.0,953.0,3575,3571.8316263952956,
793,37.30887269973755,0.04632854461669922,21.584964696679634,21.254997608265402,-308.0,152.0,770.0,1148,1147.530200393935,-28.0,210.0,962.0,3509,3515.2831626395296,
794,37.35633039474487,0.04745769500732422,21.071398428551333,21.25476436282126,81.0,633.0,1485.0,1153,1152.4530200393936,-31.0,208.0,966.0,3547,3543.828316263953,
795,37.402323961257935,0.04599356651306152,21.742171260322117,21.255363726154467,209.0,485.0,685.0,1121,1124.1453020039394,-29.0,211.0,962.0,3537,3537.6828316263955,
796,37.44894051551819,0.046616554260253906,21.451606963850985,21.255608010329464,145.0,399.0,775.0,1139,1137.5145302003941,-29.0,209.0,964.0,3547,3546.0682831626395,
797,37.49636793136597,0.04742741584777832,21.084851074525574,21.25539202780502,198.0,556.0,750.0,1126,1127.1514530200393,-30.0,210.0,962.0,3575,3572.106828316264,
798,37.54256868362427,0.04620075225830078,21.64466921250903,21.25587108130085,543.0,616.0,1288.0,1097,1100.015145302004,-27.0,209.0,960.0,3551,3553.1106828316265,
799,37.586909532547,0.04434084892272949,22.552567763027007,21.25740077960215,784.0,455.0,875.0,1093,1093.7015145302005,-31.0,209.0,957.0,3580,3577.3110682831625,
800,37.63443875312805,0.04752922058105469,21.039688591034952,21.25712582689988,895.0,853.0,305.0,1027,1033.67015145302,-32.0,210.0,959.0,3533,3537.4311068283164,
801,37.683069467544556,0.048630714416503906,20.563136116721903,21.256230220042994,798.0,630.0,993.0,985,989.8670151453019,-30.0,210.0,962.0,3551,3549.643110682832,
802,37.73211121559143,0.049041748046875,20.39079029247044,21.255105377421938,642.0,422.0,593.0,952,955.7867015145303,-31.0,210.0,956.0,3566,3564.3643110682833,
803,37.77817749977112,0.0460662841796875,21.707850281550183,21.25565744945915,773.0,358.0,855.0,900,905.578670151453,-30.0,209.0,958.0,3580,3578.4364311068284,
804,37.825812101364136,0.04763460159301758,20.993142937225343,21.255326861072334,828.0,245.0,869.0,836,842.9578670151452,-30.0,210.0,956.0,3566,3567.243643110683,
805,37.872836112976074,0.04702401161193848,21.26573139383369,21.255339779641936,672.0,-46.0,1190.0,714,726.8957867015146,-30.0,211.0,955.0,3636,3629.1243643110683,
806,37.92611742019653,0.053281307220458984,18.768308289854033,21.251845820916706,1037.0,-16.0,1394.0,672,677.4895786701516,-29.0,211.0,956.0,3580,3584.912436431107,
807,37.97157096862793,0.045453548431396484,22.000482569789032,21.252741970216153,540.0,-497.0,1225.0,555,567.2489578670152,-30.0,212.0,953.0,3594,3593.0912436431104,
808,38.019057512283325,0.04748654365539551,21.058597299834815,21.25249947973983,559.0,-337.0,568.0,368,387.9248957867015,-32.0,210.0,951.0,3594,3593.9091243643106,
809,38.06657147407532,0.04751396179199219,21.04644534542973,21.2522422869356,764.0,-928.0,1203.0,147,171.09248957867015,-28.0,210.0,949.0,3580,3581.390912436431,
810,38.113128900527954,0.04655742645263672,21.47885044757164,21.252519102119155,-1651.0,-2216.0,1706.0,0,17.109248957867013,-28.0,211.0,954.0,3589,3588.239091243643,
811,38.16035318374634,0.04722428321838379,21.175546389462472,21.25242384668048,-764.0,-933.0,1553.0,0,1.710924895786701,-31.0,209.0,962.0,3580,3580.823909124364,
812,38.20668363571167,0.04633045196533203,21.584076079125584,21.252826017095764,-477.0,-463.0,982.0,0,0.17109248957867004,-30.0,209.0,966.0,3580,3580.0823909124365,
813,38.252360820770264,0.04567718505859375,21.89276766327042,21.25359017210141,-117.0,-264.0,1126.0,0,0.017109248957867,-29.0,211.0,957.0,3551,3553.9082390912436,
814,38.3079617023468,0.055600881576538086,17.985326340976044,21.24884655374742,-93.0,-161.0,1021.0,0,0.0017109248957866998,-29.0,209.0,961.0,3566,3564.7908239091244,
815,38.35631465911865,0.048352956771850586,20.68125853644105,21.248131037694616,4.0,-47.0,823.0,0,0.00017109248957866994,-31.0,211.0,963.0,3570,3569.4790823909125,
816,38.40232729911804,0.04601263999938965,21.733158541071862,21.248712184658153,-108.0,-44.0,1027.0,0,1.710924895786699e-05,-31.0,210.0,962.0,3570,3569.9479082390912,
817,38.45593309402466,0.05360579490661621,18.654699585036404,21.24509625088116,-228.0,-144.0,1016.0,0,1.7109248957866988e-06,-30.0,211.0,958.0,ranging-error,3569.9479082390912,
818,38.49988055229187,0.043947458267211914,22.754444498695268,21.2468191658144,-212.0,-214.0,1081.0,0,1.7109248957866984e-07,-26.0,210.0,966.0,3566,3566.3947908239093,
819,38.546710729599,0.046830177307128906,21.353752163730782,21.24694907809894,-213.0,-381.0,953.0,0,1.710924895786698e-08,-30.0,211.0,963.0,3598,3594.8394790823913,
820,38.594977617263794,0.04826688766479492,20.71813718226095,21.246287745823395,-232.0,-683.0,989.0,21,18.90000000171093,-29.0,212.0,962.0,3622,3619.283947908239,
821,38.64731192588806,0.05233430862426758,19.107924156970654,21.24339207793776,-67.0,-802.0,1755.0,67,62.190000000171096,-31.0,209.0,961.0,3612,3612.728394790824,
822,38.693050384521484,0.04573845863342285,21.863438993750034,21.24412502584256,-284.0,-820.0,1030.0,166,155.6190000000171,-27.0,208.0,962.0,3561,3566.1728394790825,
823,38.73860502243042,0.04555463790893555,21.951661694666875,21.244957053137735,-309.0,-865.0,548.0,311,295.4619000000017,-29.0,210.0,958.0,3486,3494.0172839479083,
824,38.785030364990234,0.04642534255981445,21.539959532050823,21.245310168528146,-280.0,-940.0,789.0,278,279.7461900000002,-30.0,209.0,962.0,3505,3503.9017283947906,
825,38.8326575756073,0.04762721061706543,20.99640073487082,21.24500488779895,160.0,-677.0,1063.0,457,439.27461900000003,-30.0,206.0,961.0,3537,3533.690172839479,
826,38.880682706832886,0.04802513122558594,20.82243139123873,21.244482928146702,2.0,-945.0,988.0,504,497.5274619,-30.0,210.0,955.0,3486,3490.769017283948,
827,38.92666578292847,0.045983076095581055,21.747131442911435,21.245076693999465,-325.0,-1286.0,1148.0,626,613.15274619,-31.0,207.0,954.0,3561,3553.9769017283948,
828,38.974138021469116,0.047472238540649414,21.06494302230392,21.244857283152527,234.0,-1480.0,64.0,850,826.315274619,-30.0,210.0,953.0,3570,3568.3976901728392,
829,39.02242922782898,0.04829120635986328,20.707703852913877,21.244192542703,1681.0,-531.0,1200.0,980,964.6315274619,-30.0,212.0,953.0,3570,3569.8397690172837,
830,39.06835627555847,0.04592704772949219,21.773661696914324,21.244814963440266,1670.0,-39.0,-19.0,1036,1028.86315274619,-29.0,209.0,951.0,3589,3587.0839769017284,
831,39.11742448806763,0.04906821250915527,20.379792718420656,21.24372989467873,1752.0,485.0,9.0,1130,1119.886315274619,-30.0,210.0,959.0,3537,3542.008397690173,
832,39.17195439338684,0.05452990531921387,18.338561091314517,21.23968571097033,1185.0,780.0,126.0,1214,1204.588631527462,-29.0,210.0,953.0,3580,3576.200839769017,
833,39.22166991233826,0.049715518951416016,20.114443559912143,21.238259407663744,371.0,259.0,100.0,1284,1276.0588631527462,-29.0,210.0,952.0,3575,3575.1200839769017,
834,39.267560958862305,0.04589104652404785,21.790742982424238,21.238905081823635,216.0,-77.0,383.0,1308,1304.8058863152746,-31.0,211.0,955.0,3598,3595.71200839769,
835,39.31427192687988,0.046710968017578125,21.408248264597795,21.2391062857022,2603.0,2350.0,982.0,1350,1345.4805886315276,-31.0,208.0,951.0,3575,3577.071200839769,
836,39.36025857925415,0.04598665237426758,21.745440217334952,21.239697862163833,1526.0,893.0,-1204.0,1336,1336.9480588631527,-28.0,211.0,962.0,3622,3617.507120083977,
837,39.40726709365845,0.047008514404296875,21.27274202710379,21.239737280200607,248.0,212.0,-338.0,1382,1377.4948058863151,-27.0,210.0,962.0,3612,3612.5507120083976,
838,39.45467162132263,0.04740452766418457,21.095031408899104,21.23956341705089,-372.0,-114.0,0.0,1317,1323.0494805886315,-27.0,210.0,964.0,3612,3612.05507120084,
839,39.5001654624939,0.04549384117126465,21.980997301050756,21.240417354622103,18.0,453.0,841.0,1372,1367.104948058863,-29.0,212.0,964.0,3641,3638.105507120084,
840,39.54762005805969,0.0474545955657959,21.072774682348687,21.240216194218505,687.0,1047.0,1343.0,1294,1301.3104948058865,-31.0,208.0,962.0,3575,3581.310550712008,
841,39.59430289268494,0.04668283462524414,21.42114993718144,21.240429520363524,780.0,1093.0,1031.0,1289,1290.2310494805888,-30.0,210.0,963.0,3551,3554.0310550712006,
842,39.64134192466736,0.047039031982421875,21.25894088070716,21.2404514862312,1565.0,1103.0,-183.0,1261,1263.923104948059,-30.0,210.0,959.0,3542,3543.20310550712,
843,39.68652629852295,0.04518437385559082,22.131544927367994,21.241466024487377,1487.0,1035.0,573.0,1130,1143.3923104948058,-30.0,210.0,964.0,3551,3550.220310550712,
844,39.73467803001404,0.04815173149108887,20.767685170055902,21.24089188195951,834.0,520.0,443.0,1036,1046.7392310494806,-30.0,209.0,962.0,3528,3530.2220310550715,
845,39.78116726875305,0.04648923873901367,21.510354377147547,21.24120678237923,827.0,281.0,634.0,971,978.573923104948,-29.0,208.0,955.0,3547,3545.3222031055075,
846,39.82703471183777,0.0458674430847168,21.801956523999127,21.241852578809837,723.0,54.0,555.0,859,870.9573923104948,-28.0,214.0,955.0,3580,3576.5322203105507,
847,39.87580060958862,0.04876589775085449,20.506133304650948,21.240952834846116,569.0,28.0,1066.0,789,797.1957392310495,-30.0,210.0,956.0,3584,3583.253222031055,
848,39.92366433143616,0.04786372184753418,20.892650245323903,21.240535261496003,-104.0,-315.0,1565.0,668,680.919573923105,-27.0,208.0,957.0,3575,3575.8253222031053,
849,39.97097039222717,0.047306060791015625,21.138940408031612,21.24041502292619,541.0,82.0,595.0,658,660.2919573923106,-28.0,210.0,952.0,3551,3553.4825322203105,
850,40.01920294761658,0.0482325553894043,20.73288449941177,21.23980332923206,1145.0,36.0,1420.0,490,507.02919573923106,-29.0,211.0,952.0,3537,3538.648253222031,
851,40.0665922164917,0.04738926887512207,21.101823761728674,21.239640132152847,737.0,-451.0,1436.0,330,347.7029195739231,-30.0,210.0,953.0,3537,3537.1648253222033,
852,40.11328983306885,0.04669761657714844,21.414369154106932,21.239843541768614,-895.0,-1539.0,1220.0,166,184.1702919573923,-29.0,209.0,953.0,3580,3575.71648253222,
853,40.16243553161621,0.04914569854736328,20.347660722255643,21.23875180150644,-938.0,-1241.0,1316.0,21,37.317029195739224,-32.0,211.0,965.0,3519,3524.671648253222,
